fyear,tic,at,invt,rect,sale,ACR_turnover_ratio,R_collection_days,return_on_assets,profit_margin,sales_turnover_ratio,pct_uncollect,sales_growth,inv_turnover_ratio,avg_days_inv,deprec_gross_plant,deprec_net_plant
2015,AAPL,290479.0000,2349.0000,30343.0000,233715.0000,8.1204614155,44.948184755,0.2044501625,0.228457737,0.8949145923,0.2702435488,,58.111659193,6.2810115056,4.2034285714,2.0521428571
2016,AAPL,321686.0000,2132.0000,29299.0000,215091.0000,7.2127359914,50.604930006,0.1492636789,0.2124077716,0.7027223053,0.1808935459,-7.968679802,54.262887748,6.7265126341,5.6378571429,2.5245408163
2017,AAPL,375319.0000,4855.0000,35673.0000,229234.0000,7.0563935234,51.726140101,0.1387393204,0.2109242085,0.6577685956,0.1625879517,6.575356477,37.683698297,9.6858858471,7.2511170213,3.2336702128
2018,AAPL,365725.0000,3956.0000,48995.0000,265359.0000,6.2682241225,58.230208887,0.1606679226,0.224341364,0.7161760975,,15.759006081,34.695948247,10.519960354,7.5886911859,3.4434100706
2019,AAPL,338516.0000,4106.0000,45804.0000,260174.0000,5.488960854,66.497103861,0.1569235532,0.2123809451,0.7388777421,,-1.953956715,37.021830811,9.8590478105,7.4264764486,3.1354905555
2015,MSFT,176223.0000,2902.0000,17908.0000,93580.0000,4.9973299156,73.039004061,0.0699526975,0.1302949348,0.5368796381,1.8706723252,-64.03176336,9.938151744,36.727151024,5.5686111111,2.5687037037
2016,MSFT,193694.0000,2251.0000,18277.0000,85320.0000,4.7157662015,77.399935537,0.0908203732,0.1968823254,0.4612926684,2.3307982711,-8.826672366,10.441296332,34.957345179,5.9963422933,2.8144777135
2017,MSFT,241086.0000,2181.0000,19792.0000,89950.0000,4.7256297775,77.238382435,0.0975389852,0.2357309616,0.4137724826,2.0462813258,5.4266291608,11.940884477,30.567249915,5.5172435897,2.6980769231
2018,MSFT,258848.0000,2662.0000,26481.0000,110360.0000,4.76995224,76.520682312,0.0662927506,0.1501540413,0.4414982778,1.4236622484,22.690383546,11.750154863,31.063420377,5.7213131313,3.0242424242
2019,MSFT,286556.0000,2063.0000,29524.0000,125843.0000,4.4939916079,81.219555319,0.1438933341,0.3118171054,0.461467096,1.392087793,14.029539688,13.252910053,27.541121048,6.2308189655,3.448362069
2015,DELL,,,,,,,,,,,,,,,
2016,DELL,118206.0000,2538.0000,12642.0000,61642.0000,,,,-0.027124363,,0.3638664768,,,,,
2017,DELL,122281.0000,2678.0000,15096.0000,78660.0000,5.671641791,64.355263158,-0.031003755,-0.047393847,0.6541725748,,27.607799877,20.411809816,17.881804862,1.5280866342,0.6395066018
2018,DELL,111820.0000,3649.0000,16769.0000,90621.0000,5.6878079397,64.172349676,-0.019735072,-0.02549078,0.7742042964,,15.205949657,19.239449976,18.971436317,1.7350890782,0.6873870385
2019,DELL,118861.0000,3281.0000,17379.0000,92154.0000,5.3973292726,67.626039022,0.0400206346,0.0500900666,0.7989734742,1.1680764141,1.6916608733,17.145743146,21.288082814,2.4429431874,1.0657659124
